id,firstName,lastName,email,username,,console,gamertag,gameType,wins
1,Lee,Offir,ljotyd@mail.missouri.edu,leeoffir,npi391,xbox,leeoffir,Duo,30
2,Jake,Woractzeck,jcw4kd@mail.missouri.edu,jakeworactzeck,xsv879,ps4,jakethesnake,Squad,0
3,Henry ,Heinze,heinzeh@health.missouri.edu,henryheinze,gbl550,pc,HeinzeKetchup,Squad,4
4,Austin,Parrish,atpvv6@mail.missouri.edu,austinparrish,ood11,xbox,aVisoko,Duo,50
5,Chase,Scott,cdsvk8@mail.missouri.edu,chasescott,fck38,xbox,expertgamer42069,Squad,13
6,Youngbin,Ha,yh9kb@mail.missouri.edu,youngbinha,ubx853,ps4,youngbinha,Squad,0
7,Steve ,Harvey,steve@harvey.com,steveharvey,qot879,pc,bigstevesmoustache,Duo,35
8,John ,Smith,johnsmith@steve.com,johnsmith,tem622,xbox,johnsmith,Duo,1
9,Debra,Johnson,deb@deb.com,debjohnson,tuu74,pc,bigdebslayer,Squad,3
10,Luke,Skywalker,skywalker@darthvader.com,lukeskywalker,prl835,pc,onehandman,Duo,98
